nohup: ignoring input
Device: cuda

=== Epoch 1/100 ===
  Batch 160: Total=0.2257 | loss_classifier: 0.025 | loss_box_reg: 0.009 | loss_mask: 0.140 | loss_objectness: 0.012 | loss_rpn_box_reg: 0.040
  Batch 180: Total=0.3076 | loss_classifier: 0.035 | loss_box_reg: 0.068 | loss_mask: 0.202 | loss_objectness: 0.002 | loss_rpn_box_reg: 0.001
  Batch 200: Total=0.5002 | loss_classifier: 0.098 | loss_box_reg: 0.158 | loss_mask: 0.231 | loss_objectness: 0.003 | loss_rpn_box_reg: 0.012
  Batch 220: Total=0.2054 | loss_classifier: 0.048 | loss_box_reg: 0.051 | loss_mask: 0.096 | loss_objectness: 0.001 | loss_rpn_box_reg: 0.010
  Batch 240: Total=0.3780 | loss_classifier: 0.071 | loss_box_reg: 0.076 | loss_mask: 0.206 | loss_objectness: 0.009 | loss_rpn_box_reg: 0.016
  Batch 260: Total=0.5233 | loss_classifier: 0.128 | loss_box_reg: 0.129 | loss_mask: 0.260 | loss_objectness: 0.004 | loss_rpn_box_reg: 0.002
  Batch 280: Total=0.2820 | loss_classifier: 0.037 | loss_box_reg: 0.061 | loss_mask: 0.178 | loss_objectness: 0.002 | loss_rpn_box_reg: 0.003
  Batch 300: Total=0.1851 | loss_classifier: 0.018 | loss_box_reg: 0.052 | loss_mask: 0.114 | loss_objectness: 0.000 | loss_rpn_box_reg: 0.001
  Batch 320: Total=0.5749 | loss_classifier: 0.132 | loss_box_reg: 0.161 | loss_mask: 0.250 | loss_objectness: 0.024 | loss_rpn_box_reg: 0.009
  Batch 340: Total=0.2476 | loss_classifier: 0.017 | loss_box_reg: 0.037 | loss_mask: 0.176 | loss_objectness: 0.001 | loss_rpn_box_reg: 0.016
  Batch 360: Total=0.3465 | loss_classifier: 0.075 | loss_box_reg: 0.077 | loss_mask: 0.191 | loss_objectness: 0.000 | loss_rpn_box_reg: 0.003
  Batch 380: Total=0.4518 | loss_classifier: 0.049 | loss_box_reg: 0.039 | loss_mask: 0.344 | loss_objectness: 0.006 | loss_rpn_box_reg: 0.014
  Batch 400: Total=0.5493 | loss_classifier: 0.051 | loss_box_reg: 0.072 | loss_mask: 0.422 | loss_objectness: 0.003 | loss_rpn_box_reg: 0.001
Epoch 4 | Avg Loss: 0.3710 | LR: 0.000050

=== Epoch 5/100 ===
  Batch 20: Total=0.3552 | loss_classifier: 0.088 | loss_box_reg: 0.102 | loss_mask: 0.160 | loss_objectness: 0.002 | loss_rpn_box_reg: 0.003
  Batch 40: Total=0.5693 | loss_classifier: 0.103 | loss_box_reg: 0.198 | loss_mask: 0.258 | loss_objectness: 0.005 | loss_rpn_box_reg: 0.005
  Batch 60: Total=0.2462 | loss_classifier: 0.043 | loss_box_reg: 0.070 | loss_mask: 0.131 | loss_objectness: 0.001 | loss_rpn_box_reg: 0.001
  Batch 80: Total=0.2060 | loss_classifier: 0.034 | loss_box_reg: 0.055 | loss_mask: 0.111 | loss_objectness: 0.001 | loss_rpn_box_reg: 0.005
  Batch 100: Total=0.3139 | loss_classifier: 0.072 | loss_box_reg: 0.085 | loss_mask: 0.146 | loss_objectness: 0.001 | loss_rpn_box_reg: 0.010
  Batch 120: Total=0.1674 | loss_classifier: 0.025 | loss_box_reg: 0.020 | loss_mask: 0.119 | loss_objectness: 0.000 | loss_rpn_box_reg: 0.003
  Batch 140: Total=0.2825 | loss_classifier: 0.038 | loss_box_reg: 0.066 | loss_mask: 0.155 | loss_objectness: 0.008 | loss_rpn_box_reg: 0.015
  Batch 160: Total=0.2472 | loss_classifier: 0.034 | loss_box_reg: 0.091 | loss_mask: 0.119 | loss_objectness: 0.002 | loss_rpn_box_reg: 0.002
